model	num_negs	batch_size	learning_rate	num_epochs	hits_at_1	hits_at_3	hits_at_10	arithmetic_mean_rank	inverse_harmonic_mean_rank
TransE	16	128	0.001	200	0.00303951367781155	0.03343465045592705	0.08282674772036475	519.3871459960938	0.035770961216517856
TransE	16	128	0.0001	300	0.0	0.03571428571428571	0.11170212765957446	540.0619506835938	0.03844907580900337
TransE	16	256	0.001	200	0.0	0.03267477203647416	0.0972644376899696	508.1971740722656	0.035247443294815016
TransE	16	256	0.0001	300	0.0	0.02735562310030395	0.10182370820668693	611.1234741210938	0.03348951716553476
TransE	128	128	0.001	200	0.00303951367781155	0.041033434650455926	0.09346504559270517	488.3883056640625	0.03944260153726967
TransE	128	128	0.0001	300	0.0	0.029635258358662615	0.10410334346504559	498.65576171875	0.03788975306919643
TransE	128	256	0.001	200	0.001519756838905775	0.03571428571428571	0.1033434650455927	457.3981628417969	0.03856558640314815
TransE	128	256	0.0001	300	0.0	0.029635258358662615	0.10030395136778116	603.905029296875	0.03498949903122922
RotatE	16	128	0.001	200	0.019756838905775075	0.04331306990881459	0.0972644376899696	625.22265625	0.049204232120224047
RotatE	16	128	0.0001	300	0.04027355623100304	0.0972644376899696	0.22416413373860183	387.61968994140625	0.1004556116724449
RotatE	16	256	0.001	200	0.030395136778115502	0.06534954407294832	0.1595744680851064	622.1014404296875	0.07073561833622245
RotatE	16	256	0.0001	300	0.029635258358662615	0.06382978723404255	0.15881458966565348	398.9962158203125	0.07429065530423336
RotatE	128	128	0.001	200	0.018996960486322188	0.0425531914893617	0.09498480243161095	721.7556762695312	0.04603128520188723
RotatE	128	128	0.0001	300	0.044832826747720364	0.1033434650455927	0.2317629179331307	398.9756774902344	0.10522906178761397
RotatE	128	256	0.001	200	0.031914893617021274	0.07066869300911854	0.13753799392097266	749.7921752929688	0.06837310327222644
RotatE	128	256	0.0001	300	0.03115501519756839	0.07218844984802432	0.17325227963525835	396.5987854003906	0.07974873922516147
