model	num_negs	batch_size	learning_rate	num_epochs	hits_at_1	hits_at_3	hits_at_10	arithmetic_mean_rank	inverse_arithmetic_mean_rank
TransE	16	32	0.001	200	0.001519756838905775	0.034954407294832825	0.09650455927051672	508.4065246582031	0.0019669299945235252
TransE	16	32	0.0001	300	0.0	0.03875379939209726	0.10866261398176291	490.8138427734375	0.0020374322775751352
TransE	16	64	0.001	200	0.00303951367781155	0.04331306990881459	0.10714285714285714	493.050537109375	0.0020281895995140076
TransE	16	64	0.0001	300	0.0	0.037993920972644375	0.11474164133738601	509.01177978515625	0.0019645909778773785
TransE	16	128	0.001	200	0.00303951367781155	0.03343465045592705	0.08282674772036475	519.3871459960938	0.0019253460923209786
TransE	16	128	0.0001	300	0.0	0.03571428571428571	0.11170212765957446	540.0619506835938	0.0018516394775360823
TransE	16	256	0.001	200	0.0	0.03267477203647416	0.0972644376899696	508.1971740722656	0.0019677402451634407
TransE	16	256	0.0001	300	0.0	0.02735562310030395	0.10182370820668693	611.1234741210938	0.0016363305039703846
TransE	16	512	0.001	200	0.0	0.03267477203647416	0.0911854103343465	506.4866943359375	0.001974385464563966
TransE	16	512	0.0001	300	0.0	0.023556231003039513	0.0911854103343465	679.9901123046875	0.0014706095680594444
TransE	16	1024	0.001	200	0.0	0.03951367781155015	0.10562310030395136	543.9072875976562	0.0018385486910119653
TransE	16	1024	0.0001	300	0.0	0.02811550151975684	0.07066869300911854	704.2481079101562	0.0014199541183188558
TransE	32	32	0.001	200	0.001519756838905775	0.03875379939209726	0.10258358662613981	519.2891235351562	0.0019257095409557223
TransE	32	32	0.0001	300	0.0	0.047872340425531915	0.10106382978723404	481.1888427734375	0.0020781862549483776
TransE	32	64	0.001	200	0.0	0.04559270516717325	0.11094224924012158	498.5835876464844	0.002005681861191988
TransE	32	64	0.0001	300	0.0	0.03723404255319149	0.11170212765957446	485.6116943359375	0.00205925852060318
TransE	32	128	0.001	200	0.0	0.030395136778115502	0.09042553191489362	493.07635498046875	0.0020280834287405014
TransE	32	128	0.0001	300	0.0	0.04635258358662614	0.11246200607902736	514.6329956054688	0.0019431322580203414
TransE	32	256	0.001	200	0.001519756838905775	0.041033434650455926	0.10562310030395136	475.8677673339844	0.0021014241501688957
TransE	32	256	0.0001	300	0.0	0.03115501519756839	0.10182370820668693	609.0269775390625	0.0016419633757323027
TransE	32	512	0.001	200	0.0	0.037993920972644375	0.09650455927051672	495.5379943847656	0.0020180088467895985
TransE	32	512	0.0001	300	0.0	0.023556231003039513	0.0911854103343465	678.1649169921875	0.0014745675725862384
TransE	32	1024	0.001	200	0.0	0.028875379939209727	0.09346504559270517	543.7940673828125	0.0018389314645901322
TransE	32	1024	0.0001	300	0.0	0.020516717325227963	0.07066869300911854	708.2203369140625	0.0014119899133220315
TransE	64	32	0.001	200	0.001519756838905775	0.03571428571428571	0.10714285714285714	506.411865234375	0.001974677201360464
TransE	64	32	0.0001	300	0.0	0.04179331306990881	0.12082066869300911	482.0395202636719	0.002074518706649542
TransE	64	64	0.001	200	0.00303951367781155	0.04711246200607903	0.09574468085106383	485.9433898925781	0.0020578529220074415
TransE	64	64	0.0001	300	0.0	0.044832826747720364	0.10866261398176291	476.32635498046875	0.0020994008518755436
TransE	64	128	0.001	200	0.001519756838905775	0.037993920972644375	0.09574468085106383	480.2914123535156	0.002082069404423237
TransE	64	128	0.0001	300	0.0	0.03115501519756839	0.10410334346504559	509.1952819824219	0.0019638831727206707
TransE	64	256	0.001	200	0.0	0.03343465045592705	0.10790273556231003	466.74163818359375	0.0021425129380077124
TransE	64	256	0.0001	300	0.0	0.03267477203647416	0.10714285714285714	606.5695190429688	0.0016486156964674592
TransE	64	512	0.001	200	0.0	0.05167173252279635	0.1094224924012158	482.3233337402344	0.0020732979755848646
TransE	64	512	0.0001	300	0.0	0.0243161094224924	0.08890577507598785	679.699462890625	0.0014712384436279535
TransE	64	1024	0.001	200	0.0	0.0243161094224924	0.10410334346504559	538.41943359375	0.001857288065366447
TransE	64	1024	0.0001	300	0.0	0.0243161094224924	0.06990881458966565	706.6895751953125	0.0014150484930723906
TransE	128	32	0.001	200	0.001519756838905775	0.04027355623100304	0.10410334346504559	483.9756774902344	0.0020662194583564997
TransE	128	32	0.0001	300	0.001519756838905775	0.05319148936170213	0.12462006079027356	475.64208984375	0.0021024211309850216
TransE	128	64	0.001	200	0.0007598784194528875	0.03419452887537994	0.09954407294832827	482.594970703125	0.0020721310283988714
TransE	128	64	0.0001	300	0.001519756838905775	0.04635258358662614	0.12993920972644377	481.58282470703125	0.002076486125588417
TransE	128	128	0.001	200	0.00303951367781155	0.041033434650455926	0.09346504559270517	488.3883056640625	0.0020475510973483324
TransE	128	128	0.0001	300	0.0	0.029635258358662615	0.10410334346504559	498.65576171875	0.0020053915213793516
TransE	128	256	0.001	200	0.001519756838905775	0.03571428571428571	0.1033434650455927	457.3981628417969	0.002186279045417905
TransE	128	256	0.0001	300	0.0	0.029635258358662615	0.10030395136778116	603.905029296875	0.0016558895586058497
TransE	128	512	0.001	200	0.0	0.04027355623100304	0.10638297872340426	480.2101135253906	0.002082421677187085
TransE	128	512	0.0001	300	0.0	0.023556231003039513	0.08890577507598785	678.6644897460938	0.001473482116125524
TransE	128	1024	0.001	200	0.0	0.03343465045592705	0.10258358662613981	533.4369506835938	0.0018746358109638095
TransE	128	1024	0.0001	300	0.0	0.022796352583586626	0.0737082066869301	708.6101684570312	0.0014112131902948022
RotatE	16	32	0.001	200	0.012917933130699088	0.03115501519756839	0.07066869300911854	801.4042358398438	0.0012478097341954708
RotatE	16	32	0.0001	300	0.03343465045592705	0.0797872340425532	0.17933130699088146	628.297119140625	0.0015916036209091544
RotatE	16	64	0.001	200	0.010638297872340425	0.034954407294832825	0.09422492401215805	676.2294921875	0.0014787878608331084
RotatE	16	64	0.0001	300	0.037993920972644375	0.10410334346504559	0.24240121580547114	479.9555358886719	0.002083526225760579
RotatE	16	128	0.001	200	0.019756838905775075	0.04331306990881459	0.0972644376899696	625.22265625	0.0015994302229955792
RotatE	16	128	0.0001	300	0.04027355623100304	0.0972644376899696	0.22416413373860183	387.61968994140625	0.0025798482820391655
RotatE	16	256	0.001	200	0.030395136778115502	0.06534954407294832	0.1595744680851064	622.1014404296875	0.0016074548475444317
RotatE	16	256	0.0001	300	0.029635258358662615	0.06382978723404255	0.15881458966565348	398.9962158203125	0.0025062893982976675
